houses,committee,speaker,date,speech_order,speech_text
衆議院,厚生労働委員会,丹羽秀樹,20161021,11,次に、中野洋昌君。
衆議院,厚生労働委員会,中野洋昌,20161021,12,公明党の中野洋昌でございます。私の方からは、働き方改革につきまして御質問をさせていただきたいというふうに思います。と申しますのも、本年、公明党の青年委員会で、特に若い世代の声をしっかり政治に届けようじゃないかということで、署名を集めさせて、政策アンケートをとらせていただきました。ボイスアクションという名前で一千万人以上署名も集めさせていただきまして、総理にも提出をさせていただきました。その中で大変に関心が高かった、特に声が多かった、こういうものが、働く人の処遇を改善していくことでございますし、また、働き方を改革していく、この項目でございました。ですので、今の若い世代は、働き方改革、大変に高い関心を持っている、そしてまた進めていっていただきたいと思っている、こういうことだなと改めて痛感をしております。こうした声を受けまして、政府におきましては、働き方改革実現本部というものも設置をしていただいておりまして、改革を進めようとされているこの姿勢、率直に評価をしたいと思います。あと、改革をしっかりと進めていく、結果を出していく、こういうことだなというふうに思っております。そこで質問なんですけれども、若い世代の大きな要望、何といっても、賃金の上昇ということでございます。これに伴って景気の好循環を実現させていかないといけない。本年に入って、実質賃金もプラスの傾向が続いております。しっかり賃上げもこれからさらに進めていかないといけないとも思っております。賃金を底上げしていくために最低賃金を押し上げていく、これが底上げとして大変重要だと思っております。公明党としても、早期に最低賃金千円を目指そう、こういうことも訴えております。しかし他方で、最低賃金を引き上げると、中小企業の皆様を初め、大変に経営が苦しくなる、こういうお声もまたあるわけでございますし、これは、生産性の向上、中小企業を中心として、こうした環境整備をあわせてしっかり行っていかないとなかなか実現をしていかない、こういう思いも強く持っております。そこで、厚生労働省にお伺いをしたいんですけれども、最低賃金の引き上げに向けまして、今後の御決意を、中小企業を中心として環境整備をさらに力強く行っていく、こういうことも含めて、しっかりやっていっていただきたい、このように思いますけれども、橋本副大臣から御答弁をいただきたいというふうに思います。
衆議院,厚生労働委員会,橋本岳,20161021,13,最低賃金の引き上げについて、そしてまた、中小企業などを中心としたその環境整備について御質問をいただきました。まず、最低賃金につきましてですけれども、安倍政権において四年連続で大幅に引き上げさせていただいておりまして、時給表示となってから、今年度は、過去最高となる全国加重平均二十五円の引き上げを行ったところでございます。ただ、もちろん、最低賃金を引き上げるということは、経営にとってそこが負担になり得るということがあるわけですから、特に中小企業の皆様を中心に、その環境を整えてほしいという御要望は、今委員御指摘のとおり、あるわけでございまして、大変大事なことだと思っております。この環境整備についてですけれども、特に中小企業等の生産性向上に向けた支援というのが大変重要でございますので、先般成立させていただきました平成二十八年度第二次補正予算において、業務改善助成金やキャリアアップ助成金について助成額の拡充等を行ったところでございます。具体的に申し上げれば、業務改善助成金について、事業場内で最も低い賃金を時給で六十円以上引き上げる場合のみをこれまでは対象としていたわけでございますが、三十円以上引き上げる場合に対象とするということで範囲を拡大いたしまして、使いやすくさせていただくことをしました。それから、キャリアアップ助成金については、賃金規程等を二％以上増額改定した場合に支給することとこれまでしておりますけれども、中小企業が三％以上増額改定をした場合に助成額に加算を行うということで、ことしの最低賃金の引き上げ率が三％であったということを踏まえて、そのような設定をさせていただいた次第でございます。いずれの場合も、生産性向上の状況を加味しながら加算を行うということにしておりまして、こうしたことを通じて、中小企業の皆様方にも、最低賃金の引き上げに応じてきちんと賃金をお支払いいただく環境を整えていくということ、今後もしっかり取り組んでまいりたいと考えております。
衆議院,厚生労働委員会,中野洋昌,20161021,14,ありがとうございます。中小企業の皆様を中心にしっかりここで働く皆様の賃金が上がっていく、これが大変に大事だというふうに思います。政府全体としてさまざまな取り組みをしておりますけれども、厚生労働省としても、しっかりとこの後押しをしていく、これを加速させていっていただきたいと改めてお願いをさせていただきます。非正規雇用の皆様の処遇の改善、これも大変に御要望の強い、そしてまた大事なテーマである、このように考えております。公明党としても、同一労働同一賃金を推進しよう、正規の職員の方と非正規の職員の方と、余りにも給与の格差があるのではないか、こういうことも訴えておりまして、欧州では正社員の八割程度の賃金が非正規の方はある、こういうデータもあるわけでございますので、しっかりと引き上げていこう、こういう御提案を党としてもさせていただきました。しっかりと、こうした我が党の提案も踏まえながら議論も進めていっていただきたい、このように思うんですけれども、その中から何点か指摘をさせていただきますと、例えば、典型的によく言われるのが、同一労働同一賃金を進めていくときに、企業としては人件費の総額というのがある程度決まっている。そうすると、正規と非正規の方で何かパイを奪い合うような、場合によっては、正規の方の処遇が下がって非正規の方に行くような、こういうことがあってはやはり本末転倒ではないだろうか、こういうふうに考えておるわけでございます。あるいは、今政府としてガイドラインをつくろう、合理的な理由なく、正規と非正規、不利益な取り扱いをしてはいけない、こういうガイドラインを示していこう、こういう議論もあるわけでございますけれども、余り合理性がないのではないかという要望をいただいている項目もございます。例えば、通勤手当があったりなかったり、あるいは慶弔の休暇、安全衛生、典型的には、こういうものはなるべく差はなくしていっていただきたい、こういう御要望も強くいただいているわけでございます。そしてまた、このガイドラインがしっかりと、わかりやすくて実効性の高いものにしないといけないんじゃないか、こういうお声もあるわけでございます。こういうことも含めて、提言もさまざまさせていただいております。こうしたことも踏まえて、今後の同一労働同一賃金の進め方、私としては、しっかりとガイドラインをつくって、これが実効性の高いものとして、このガイドラインが出たから、しっかりと非正規の方の処遇が具体的に上がっていく、こういうものをぜひ進めていただきたい、このように思いますけれども、厚生労働省の御見解を伺いたいと思います。
衆議院,厚生労働委員会,鈴木英二郎,20161021,15,お答え申し上げます。同一労働同一賃金の実現に向けましては、不合理な待遇差の是正を図るに当たりまして、非正規雇用の方々の待遇改善が着実に図られることが必要だと考えてございます。このため、今後の検討に当たりましては、先生御指摘の点も十分に踏まえまして検討を進めてまいりたいと考えてございます。また、ガイドラインにつきましては、今後、総理を議長といたします働き方改革実現会議におけます議論も経まして、年内に策定を目指すということになってございます。この策定に当たりましては、御指摘の点も踏まえまして、どのような待遇差が合理的または不合理であるかということについて事例等で示しまして、わかりやすく実効性があるガイドラインになるように努めてまいりたいと考えてございます。
衆議院,厚生労働委員会,中野洋昌,20161021,16,ありがとうございます。このガイドラインがまずはどういう形で出てくるかということが非常に大きな、まず第一歩だというふうに思いますので、しっかりと進めていっていただきたいと思います。続きまして、長時間労働の是正について伺います。これも、今現在、政府においても議論が進められているところでございますけれども、ただ、先日も、大手の広告代理店で若手の社員の方が過労のために自殺をする、大変痛ましい残念な事案もございました。こうした若い人たちの可能性を摘むような、あるいは若い人たちを使い潰すような企業というのはやはり変えていかないといけない、なくしていかないといけない、こういう思いでございます。私自身も、今までも、過労死等防止対策推進法、こういう議員立法にも携わってまいりましたし、また、党としても、労働法令の違反が疑われる企業への監督指導の強化、こういうものも求めてまいりました。現在も、過重労働撲滅特別対策班「かとく」というふうに呼ばれておりますけれども、こうした監督の強化、こういうものは今図りつつあるところだ、このように承知はしておりますけれども、やはり、いざ何かが起こってから動く、こういうことではなくて、こうした事案を未然に防いでいくためにより積極的に動いていく必要があるのではないか。こういう長時間労働が常態化をしているような場所に対しては、さらに重点的に監督指導、こういうものをしっかりと強化していくべきではないか、このように思っているわけでございますけれども、これについても政府から御答弁をいただきたいと思います。
衆議院,厚生労働委員会,橋本岳,20161021,17,委員御指摘の企業につきまして、過去にも業務に起因する自殺事案が発生をしておりまして、今回再び自殺事案が発生したことは極めて遺憾としか言いようのないことでございます。この件に限らず、働き過ぎにより命を落とされるということは、御本人や御家族にとってもはかり知れない苦痛であるとともに、社会にとっても大きな損失であり、過労死はあってはならないものでございます。働き方改革の中で、長時間労働について、これを撲滅するのだということで動いておりますし、ルールについてどうするか、議論もありますが、やはり監督強化というのは大事な点でございまして、厚生労働省では、過重な労働による過労死等に係る労災請求が行われた事業場に対する監督指導はもちろんのこと、例えば、昨年五月から、複数の事業場で違法な長時間労働を行う企業を是正、指導した段階で公表する取り組みを開始するとともに、月百時間超の残業を把握した全ての事業場に対する監督指導の対象を、ことし四月から月八十時間超ということに拡大をさせていただいております。また、昨年四月に、お触れをいただきましたが、過重労働撲滅特別対策班「かとく」を東京労働局と大阪労働局に設置をしておりますし、また、ことし四月には本省にも「かとく」を設置するなど、法規制の執行強化を図っているところでございます。引き続き、これらの対策をより徹底していくということで、長時間労働を是正し、働く方が安心して活躍できる環境を整えるよう、しっかり取り組んでまいる所存でございます。
衆議院,厚生労働委員会,中野洋昌,20161021,18,しっかりと監督指導をお願いしたいというふうに思います。労基署が監督指導、先ほど、ルールそのものの見直しという議論もございました。確かに、長時間労働、法令に違反をした場合は監督指導、こういうことでございますけれども、そもそも労働時間法令の上限規制のあり方がどうなのか、こういう議論もあるわけでございます。現在、政府としても議論が行われておりますし、私個人としても、やはりこういう上限規制の設定、あるいは一定の休みを置くというインターバル規制、こういうものもしっかり促進をしていかないといけない、この議論においても実効性のある取り組みを行っていかないといけない、このように考えておる次第でございます。他方で、業種によって労働時間というのにはデータを見ると結構差があるわけでございまして、例えばＩＴの業界であるとか運送業の業界であるとか、労働時間が非常に長い、こういう業界もございます。それぞれの事情がある。多重の請負構造になっているようなケースもございますし、あるいは、運送業ですと、荷主との関係で、自分の会社そのものは別にそんなに長時間の労働はしたくはなかったとしてもせざるを得ない、こういうようなさまざまな状況があるわけでございます。ですので、この労働時間法令のあり方、これについてもまずしっかり議論をする必要はあると思いますけれども、実効的にこの長時間労働を削減していくために、こうした関係者が一丸となって、長時間労働を少なくしていこう、是正していこう、こういう業界ごとの取り組みというのもあわせてしっかりと進めていく必要がある、このように思いますけれども、これについても政府に御答弁をいただきたいと思います。
衆議院,厚生労働委員会,山越敬一,20161021,19,お答えをさせていただきます。今御指摘をいただきましたように、長時間働く方の割合が高い業種につきまして、発注者でありますとか取引先との関係にも踏み込みました対策を講ずることが重要だというふうに考えております。まず、今御指摘もいただきましたが、ＩＴ産業につきましては、重層下請構造のもとで、急な仕様の変更や曖昧な発注から生じますやり直しなど、取引慣行上の問題もあるというふうに承知をしております。そうしたことから、平成二十八年度、新たに、業界団体や関係省庁が連携をして、検討委員会の設置や実態の調査等の取り組みを開始したところでございます。それから、トラック運送業につきましても、御指摘をいただきましたように、荷主の都合によります手待ち時間とか、運送事業者だけでは解決できない問題があるというふうに承知をしております。このため、荷主企業や経済団体の参画を得た協議会を全都道府県に設置をして、実態調査を実施した上で、取引慣行の見直しによる手待ち時間の削減に向けたモデル的取り組みを進めているところでございます。このように、取引環境の改善にも踏み込んだ長時間労働対策を今後ともしっかりと進めてまいる所存でございます。
衆議院,厚生労働委員会,中野洋昌,20161021,20,ありがとうございました。働き方改革は大変に大事なテーマでございまして、政府においてもこれからさらに議論が進んでいくというふうに考えております。公明党といたしましても、しっかりと党内でまた議論をして、また政府にも御提案をさせていただきたい、しっかりと前に進めていきたい、このように考えておりますので、そのように決意を申し上げまして、私の質問とさせていただきます。ありがとうございました。
衆議院,厚生労働委員会,丹羽秀樹,20161021,21,次に、井坂信彦君。
衆議院,厚生労働委員会,井坂信彦,20161021,22,民進党の井坂信彦です。この厚生労働委員会は、火曜日の理事懇、水曜日の初日の委員会、木曜日、きのうの理事懇、そして本日の委員会と、まことに遺憾ながら、四日連続で委員長職権による強行開催となっております。我々野党側が要求をしているのは、非常に基本的、基礎的な二点だけであります。一つは、今週月曜日に政府から出された年金カット法案の政府試算。これは、高齢者の年金はわずか三％減るだけで、そして将来世代は七％も年金がふえる、こういううそのような、夢のような数字が政府から発表されたわけであります。明らかにおかしいので、厚生省の年金数理の担当者と今週四時間議論した結果、幾つもからくりがあり、高齢世代のカット率はなるべく少なく見せる、そして将来世代のアップ率は倍以上に大きく見せる、こういう試算だとわかりました。我々の試算と、多少の前提の違いで一割、二割、双方の数字が違うのは、これは受け入れられるところでありますが、余りにおかしな前提で、いわばお花畑のような数字を出して国民を欺くのはやめていただきたい。もう少し現実的な試算を出してほしいというのが一点目の要求であります。二つ目は、来週にも年金カット法案の審議が始められるかもしれない、こういう状況の中で、これは今週ですけれども、塩崎厚生労働大臣も、そして安倍総理も、年金受給資格期間を二十五年から十年に短縮する法案と年金カット法案をセットで、抱き合わせで審議してほしいと再三答弁をしておられます。我々は、この二つの法案をとにかく分けて、そして、実際今困っておられる無年金の方々を救う年金受給資格の短縮法案を先に審議させてほしい、これをこの間ずっと要求してまいりました。大臣は、十月三日の私との予算委員会質疑で、こう答弁しておられます。セットで議論、早期に一括審議していただくことが我々としては大変ありがたい、このように大臣は当時答弁をしておられました。改めてお伺いをいたしますが、年金受給資格を二十五年から十年に短縮して無年金者を救う法案と、そして議論に非常に時間のかかる、与野党で大きく意見の割れている年金カット法案を一括審議すべきでない、無年金者を救う法案を分けて先に国会で議論すべきと考えておりますが、大臣のお考えをお伺いします。
衆議院,厚生労働委員会,塩崎恭久,20161021,23,まず、冒頭に申し上げなきゃいけないのは、議案の審議は、当然のことながら、私ども政府が決めることでは決してないわけでございまして、一義的には与野党の皆様方の協議で決められるものだというのが私どもの理解であり、そのような形で国会の場でお決めをいただきたいというのがまず第一点、大前提でございます。その上で申し上げるとするならば、先ほど田村委員からの質問に対して私からもお答え申し上げましたように、今、これは、井坂委員から予算委員会で御議論をいただいた、皆様方の言う年金カット法案と呼ばれているものは、先ほど申し上げたとおり、民主党政権時の社会保障・税一体改革大綱がございますが、そのときに既にお見通しのとおり、「デフレ経済下におけるマクロ経済スライドの在り方について見直しを検討する。」と書いてあって、これをやらないと将来世代の年金の受取額が減ってしまうということを見通した上で、民主党政権もこれを宿題として定めていた、閣議決定までされていたわけでございます。同時に、もちろん、受給資格期間の短縮の問題、これも一体改革の中に入っていることで、いずれも、よりよい暮らしを実現するために、年金受給権というものをより確実にするという意味において、そして年金の機能を強化するという意味において、共通をする問題であろうというふうに思うわけでございます。そういう意味において、私どもは二案とも非常に関連は深いというふうには思っておりますけれども、そしてまた、全体として見れば、年金制度への国民の皆様方の信頼、そして世代間の助け合い、さらには世代間の時間軸で見た分かち合い、こういう意味での改善を図ることが年金制度そのものへの信頼を高めるということにもなろうかと思いますので、これを御一緒に御議論いただきたいという気持ちは、そういうところから総理も私も申し上げているわけで、あくまでも、どういう法案処理をされるかは、これは与野党の皆様方の御議論で決まってくる、このように理解をしております。
衆議院,厚生労働委員会,井坂信彦,20161021,24,最後におっしゃったのは、提出した側としては、関連があるのでセットで審議をしてほしいというふうにこれまで言ってきたが、しかし、当たり前の話ですけれども、何をどういう順番で審議するのかは国会で決めることである、国会にお任せをするという答弁かと思います。ちょっと不満なので、もう一度だけお聞きしたいんですが、大臣、もうそこはこだわられなくていいと思うんです。やはり我々も、短いこの秋の臨時国会、そして、政府からしたら、どの法案も出したからには大事だ、通したい、そういうことなんでしょう。しかし、特に、受給資格を二十五年から十年に短縮をして無年金の方々を救う法案、これはやはりこの秋の国会でしっかり議論をして、結論を出してしまわないと、そして、私はこの法案はもちろん大賛成でありますから、入り口からこういう、まさに大臣が、そして総理が、セットでセットでと、こうおっしゃるところから、もう既にごたごたが始まっているわけであります。そもそも、そういうことをおっしゃることがおかしかったわけでありますが、改めて、それは気持ちは気持ちとしてさっきお伺いしましたが、これは、無年金者を救う法案を通すためには、もちろん必ずしもセット審議にはこだわらないと答弁していただけますか。
